Date,Open,High,Low,Close,Volume,Adj_Close
2024-05-20,1430.0,1444.699951171875,1428.4000244140625,1434.1500244140625,6752663,1398.13671875
2024-05-21,1428.75,1459.949951171875,1428.0,1454.800048828125,7173285,1418.2681884765625
2024-05-22,1454.699951171875,1478.1500244140625,1450.0,1472.4000244140625,8641428,1435.42626953125
2024-05-23,1468.25,1475.5,1460.0,1465.0999755859375,5277938,1428.3094482421875
2024-05-26,1471.8499755859375,1479.5999755859375,1460.25,1471.3499755859375,5821844,1434.402587890625
2024-05-27,1475.5,1476.0,1460.300048828125,1467.050048828125,6186922,1430.2105712890625
2024-05-28,1465.4000244140625,1465.5,1450.0,1450.949951171875,7401634,1414.5147705078125
2024-05-29,1442.800048828125,1449.8499755859375,1421.550048828125,1427.449951171875,9663150,1391.6048583984375
2024-05-30,1409.800048828125,1436.75,1400.0,1406.9000244140625,37113815,1391.061279296875
2024-06-02,1440.0,1440.0,1404.0,1405.9000244140625,10589244,1390.072509765625
2024-06-03,1409.0,1415.0,1358.3499755859375,1393.6500244140625,13736134,1377.9603271484375
2024-06-04,1400.1500244140625,1438.0,1400.1500244140625,1430.0999755859375,9233424,1414.0
2024-06-05,1444.949951171875,1474.300048828125,1437.5,1472.25,12660930,1455.675537109375
2024-06-06,1481.0,1539.699951171875,1477.25,1533.5999755859375,24075302,1516.3348388671875
2024-06-09,1525.300048828125,1529.800048828125,1497.300048828125,1499.75,6810606,1482.8658447265625
2024-06-10,1500.050048828125,1506.449951171875,1493.949951171875,1495.75,4853054,1478.910888671875
2024-06-11,1507.0,1508.75,1482.75,1485.199951171875,9564320,1468.4796142578125
2024-06-12,1495.0,1505.0,1489.3499755859375,1493.949951171875,7307565,1477.131103515625
2024-06-13,1503.699951171875,1503.699951171875,1486.050048828125,1488.9000244140625,4237727,1472.1380615234375
2024-06-17,1497.0,1507.0,1495.4000244140625,1498.199951171875,5420939,1481.333251953125
2024-06-18,1505.0,1515.6500244140625,1496.699951171875,1511.3499755859375,5493456,1494.3353271484375
2024-06-19,1516.300048828125,1517.5,1499.0999755859375,1515.4000244140625,7927010,1498.3397216796875
2024-06-20,1545.0,1557.75,1523.699951171875,1532.699951171875,17301941,1515.4449462890625
2024-06-23,1524.550048828125,1529.0999755859375,1515.4000244140625,1527.1500244140625,5564989,1509.9573974609375
2024-06-24,1526.0,1543.9000244140625,1520.3499755859375,1541.949951171875,4551525,1524.5908203125
2024-06-25,1541.0,1548.8499755859375,1535.0,1540.699951171875,4851004,1523.3548583984375
2024-06-26,1538.449951171875,1578.4000244140625,1532.050048828125,1573.3499755859375,14757754,1555.6373291015625
2024-06-27,1572.550048828125,1588.5,1564.25,1566.75,8197544,1549.111572265625
2024-06-30,1559.5,1599.9000244140625,1559.5,1590.800048828125,6801771,1572.890869140625
2024-07-01,1596.199951171875,1633.800048828125,1586.5,1621.050048828125,10493173,1602.8004150390625
2024-07-02,1625.0,1636.0,1606.0,1627.4000244140625,7269965,1609.078857421875
2024-07-03,1628.199951171875,1660.0,1628.0,1650.6500244140625,8008311,1632.067138671875
2024-07-04,1651.449951171875,1665.8499755859375,1633.3499755859375,1647.449951171875,7065022,1628.903076171875
2024-07-07,1643.0999755859375,1666.0,1640.0,1661.6500244140625,5880533,1642.9432373046875
2024-07-08,1659.9000244140625,1666.75,1651.0,1657.1500244140625,5191182,1638.493896484375
2024-07-09,1657.0,1674.0,1637.550048828125,1648.25,9852770,1629.694091796875
2024-07-10,1656.0,1665.0,1642.050048828125,1652.699951171875,8857679,1634.093994140625
2024-07-11,1680.0,1719.75,1666.6500244140625,1711.75,17078316,1692.479248046875
2024-07-14,1726.199951171875,1728.0,1702.6500244140625,1707.050048828125,6942230,1687.8321533203125
2024-07-15,1718.5999755859375,1737.9000244140625,1700.0,1726.050048828125,6886281,1706.6182861328125
2024-07-17,1719.0,1765.4000244140625,1719.0,1758.050048828125,11248896,1738.258056640625
2024-07-18,1844.0,1844.0,1786.449951171875,1792.949951171875,29819116,1772.7650146484375
2024-07-21,1800.1500244140625,1823.0,1792.949951171875,1810.8499755859375,8462126,1790.4635009765625
2024-07-22,1810.0,1839.949951171875,1783.25,1836.9000244140625,7113056,1816.2203369140625
2024-07-23,1837.5,1842.3499755859375,1819.5999755859375,1833.949951171875,6002845,1813.303466796875
2024-07-24,1820.0,1830.9000244140625,1812.0,1824.8499755859375,5815599,1804.305908203125
2024-07-25,1825.3499755859375,1883.0,1825.3499755859375,1878.9000244140625,11369047,1857.7474365234375
2024-07-28,1893.5999755859375,1903.0,1864.0,1871.0999755859375,4635931,1850.0352783203125
2024-07-29,1871.0999755859375,1879.949951171875,1860.0,1877.1500244140625,2721265,1856.0172119140625
2024-07-30,1877.0,1885.1500244140625,1865.050048828125,1868.25,5004209,1847.21728515625
2024-07-31,1856.0999755859375,1867.9000244140625,1845.0999755859375,1852.5999755859375,7475014,1831.7435302734375
2024-08-01,1843.0,1859.5,1816.1500244140625,1821.199951171875,7400938,1800.697021484375
2024-08-04,1784.949951171875,1797.5,1718.550048828125,1751.9000244140625,10736703,1732.17724609375
2024-08-05,1760.199951171875,1796.949951171875,1744.8499755859375,1751.0999755859375,7690163,1731.38623046875
2024-08-06,1796.0,1797.9000244140625,1762.0999755859375,1791.6500244140625,5094329,1771.479736328125
2024-08-07,1779.949951171875,1779.949951171875,1727.0999755859375,1743.1500244140625,6227910,1723.5257568359375
2024-08-08,1771.25,1780.75,1756.0,1770.75,4258524,1750.81494140625
2024-08-11,1773.050048828125,1803.5,1768.0999755859375,1797.4000244140625,4315329,1777.1650390625
2024-08-12,1810.0,1810.0,1789.050048828125,1797.449951171875,4176918,1777.21435546875
2024-08-13,1802.0,1825.0,1797.449951171875,1823.25,7450718,1802.7239990234375
2024-08-15,1850.0,1861.8499755859375,1829.5,1858.949951171875,7335657,1838.02197265625
2024-08-18,1860.0,1867.550048828125,1849.199951171875,1864.800048828125,2585989,1843.8062744140625
2024-08-19,1880.0,1885.699951171875,1868.199951171875,1872.199951171875,3870333,1851.122802734375
2024-08-20,1875.0999755859375,1879.0,1867.0999755859375,1872.699951171875,1966902,1851.6171875
2024-08-21,1884.0,1893.6500244140625,1869.699951171875,1880.25,4300287,1859.082275390625
2024-08-22,1878.199951171875,1882.5999755859375,1857.0,1862.0999755859375,5015935,1841.1365966796875
2024-08-25,1870.0,1888.75,1864.0,1876.1500244140625,3728589,1855.0284423828125
2024-08-26,1876.1500244140625,1902.75,1873.9000244140625,1900.0999755859375,3830679,1878.708740234375
2024-08-27,1906.9000244140625,1951.0,1897.4000244140625,1939.0999755859375,6514531,1917.2696533203125
2024-08-28,1933.0,1950.5,1920.9000244140625,1933.3499755859375,7228284,1911.58447265625
2024-08-29,1938.0,1950.0,1928.0,1943.699951171875,13466759,1921.81787109375
2024-09-01,1943.3499755859375,1975.75,1942.800048828125,1964.5,5573739,1942.3837890625
2024-09-02,1967.0,1967.0,1936.449951171875,1941.25,4694322,1919.3955078125
2024-09-03,1921.0999755859375,1927.199951171875,1900.050048828125,1922.449951171875,4778310,1900.80712890625
2024-09-04,1926.25,1940.0,1909.5999755859375,1933.1500244140625,4081810,1911.38671875
2024-09-05,1922.0,1936.5,1896.8499755859375,1901.8499755859375,5848106,1880.4390869140625
2024-09-08,1890.0,1920.8499755859375,1889.0,1894.6500244140625,4772612,1873.3201904296875
2024-09-09,1904.9000244140625,1935.0,1896.0,1912.300048828125,6909600,1890.771484375
2024-09-10,1914.699951171875,1926.0,1905.0,1910.1500244140625,5312946,1888.6456298828125
2024-09-11,1925.0,1956.4000244140625,1910.800048828125,1950.449951171875,8555092,1928.491943359375
2024-09-12,1950.449951171875,1958.5999755859375,1935.6500244140625,1944.0999755859375,3843127,1922.21337890625
2024-09-15,1945.75,1952.0,1933.050048828125,1950.25,1570181,1928.294189453125
2024-09-16,1947.75,1958.449951171875,1942.1500244140625,1952.550048828125,2793127,1930.568359375
2024-09-17,1938.75,1938.75,1881.300048828125,1892.1500244140625,6385468,1870.8482666015625
