Date,Open,High,Low,Close,Volume,Adj_Close,MA5,MA10,MA20,MA50,EMA5,EMA10,EMA20,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,ATR,Volume_Change,Volume_MA10,Volume_Ratio,ROC5,ROC10,ROC20,Close_MA20,Volatility,Target,Close_Ratio,High_Low_Ratio,Open_Close_Ratio,Signal,Position,Cash,Holdings,Equity,Returns,Cumulative_Returns
2024-08-13,25169.80078125,25235.849609375,25021.099609375,25093.5,554700.0,25093.5,25143.659765625,25208.434765625,25503.834765625,25301.591953125,25142.190014524105,25252.826360001825,25353.94233098202,25289.035055675737,25343.828550324208,-54.793494648471096,45.68546102835592,-100.47895567682701,43.8871954287759,25503.834765625,653.5219313394706,26810.87862830394,24196.79090294606,0.10249783020399908,510.2357700892857,0.02475521891742094,632090.0,0.8775649037320634,0.6251619765616612,-5.964905706335899,-1.5280850478396002,25503.834765625,0.025624457550999794,1,0.9839108600962995,1.0085827562877987,1.0030406591846495,1,37,71540.5,928459.5,1000000.0,0.0,0.0
2024-08-15,25344.80078125,25635.44921875,25261.75,25597.349609375,462100.0,25597.349609375,25279.659765625,25119.4248046875,25504.86728515625,25349.6729296875,25293.909879474406,25315.466950796945,25377.12397654326,25336.46806393716,25362.607888031675,-26.139824094512733,31.32040400378219,-57.46022809829492,42.3083768022769,25504.86728515625,653.6594097698415,26812.186104695935,24197.548465616568,0.1025152418887934,499.8285435267857,-0.16693708310798627,626000.0,0.7381789137380191,2.729022190001107,-3.36045801173227,0.08073907601753305,25504.86728515625,0.025628810472198345,0,1.0036260656910994,1.0147930851484952,0.9901337899439204,0,37,71540.5,947101.935546875,1018642.435546875,0.018642435546875058,0.018642435546875058
2024-08-18,25732.099609375,25732.099609375,25355.69921875,25368.75,484400.0,25368.75,25284.0796875,25084.8548828125,25525.1373046875,25371.3729296875,25318.856586316273,25325.15477792477,25376.326454967708,25341.43451563914,25363.062859288588,-21.628343649448652,20.730654473136024,-42.35899812258468,37.69970039263281,25525.1373046875,642.1678295115252,26809.472963710552,24240.80164566445,0.10063300688197997,511.7177734375,0.04825795282406409,619780.0,0.7815676530381749,0.08718946698840213,-1.3443773024620298,1.6239823459939462,25525.1373046875,0.02515825172049499,1,0.99387320417435,1.0148448042145357,1.014322724193151,1,0,1018642.435546875,0.0,1018642.435546875,0.0,0.018642435546875058
2024-08-19,25480.75,25538.44921875,25377.599609375,25500.0,493200.0,25500.0,25328.28984375,25164.2048828125,25537.5998046875,25393.4389453125,25379.237724210852,25356.944818302083,25388.104887827925,25365.82920554081,25373.206351193134,-7.377145652324543,15.10909444804391,-22.486240100368455,37.36249232770211,25537.5998046875,638.9731942701261,26815.54619322775,24259.65341614725,0.10008351593838356,497.28194754464283,0.018166804293971994,523780.0,0.9416167093054336,0.874446082933078,3.2117054216501684,0.9870993930873428,25537.5998046875,0.02502087898459591,1,0.9985276688108881,1.0063382515230312,0.9992450980392157,1,37,75142.435546875,943500.0,1018642.435546875,0.0,0.018642435546875058
2024-08-20,25520.55078125,25597.650390625,25448.05078125,25586.75,318400.0,25586.75,25429.269921875,25270.8748046875,25550.85234375,25404.7699609375,25448.408482807237,25398.727578610793,25407.02346993955,25399.817020072995,25389.0243992529,10.79262082009518,14.245799722454166,-3.453178902358985,37.1043834347529,25550.85234375,637.0052548646605,26824.86285347932,24276.84183402068,0.09972352331650931,487.65694754464283,-0.3544201135442011,474640.0,0.6708242036069442,2.0130109959525466,4.350314068540517,1.046733787334997,25550.85234375,0.02493088082912735,0,1.0014049494618438,1.0058786274304838,0.9974127539156008,0,37,75142.435546875,946709.75,1021852.185546875,0.003151007544935913,0.02185218554687518
2024-08-21,25658.44921875,25681.5,25518.05078125,25563.650390625,305700.0,25563.650390625,25523.3,25333.4798828125,25563.58232421875,25415.5899609375,25486.82245207983,25428.713544431557,25421.940319528643,25425.022154004073,25401.959657873056,23.062496131016815,16.0091390041667,7.053357126850116,38.691403233357065,25563.58232421875,634.4576194257457,26832.497563070243,24294.66708536726,0.09927522854645698,458.1460658482143,-0.03988693467336679,459320.0,0.6655490725420187,1.8735943197441651,2.5104692955878694,1.005962695225282,25563.58232421875,0.024818807136614232,1,1.0000026626317622,1.0064052391834764,1.0037083447268456,1,0,1021852.185546875,0.0,1021852.185546875,0.0,0.02185218554687518
2024-08-22,25630.80078125,25929.05078125,25621.25,25850.69921875,525000.0,25850.69921875,25573.969921875,25426.81484375,25574.7498046875,25427.9879296875,25608.114707636552,25505.438212489455,25462.774500406867,25490.510933195754,25435.199625345424,55.311307850330195,23.869572773399398,31.441735076930797,51.893125263235596,25574.7498046875,637.5969911013733,26849.943786890246,24299.555822484755,0.09972289011163814,426.45326450892856,0.7173699705593719,458820.0,1.1442395710736237,0.9897493812492719,3.7457820514900764,0.8715283194688839,25574.7498046875,0.02493072252790956,1,1.010789916467215,1.0120134958774454,0.9914935207114048,1,37,65376.314453125,956475.87109375,1021852.185546875,0.0,0.02185218554687518
2024-08-25,25913.5,25995.75,25802.150390625,25941.44921875,330600.0,25941.44921875,25688.509765625,25486.2947265625,25559.2873046875,25442.464921875,25719.226211341036,25584.712940900463,25508.3625688205,25559.886054050254,25472.699595227245,87.18645882300916,36.53294998332135,50.65350883968781,73.02851731798812,25559.2873046875,623.9453252846305,26807.17795525676,24311.396654118238,0.0976467485727117,354.19614955357144,-0.37028571428571433,441690.0,0.7484887590844257,2.257498768169497,2.3466565363011505,-1.1780638581204483,25559.2873046875,0.024411687143177922,0,1.014951978492468,1.007503235445265,0.9989226038023428,0,37,65376.314453125,959833.62109375,1025209.935546875,0.0032859449218705095,0.025209935546875117
2024-08-26,25960.69921875,26026.80078125,25857.05078125,25911.900390625,387500.0,25911.900390625,25770.88984375,25549.58984375,25533.55478515625,25452.8389453125,25783.450937769026,25644.201568123102,25546.794742325692,25614.042105830984,25505.232987478932,108.80911835205188,50.98818365706747,57.820934694984416,77.5674130398285,25533.55478515625,596.2953352206792,26726.14545559761,24340.964114714894,0.09341360264765496,305.98549107142856,0.1721113127646703,440290.0,0.8801017511185809,1.6152956495097959,2.5038666219778127,-1.9474747002932835,25533.55478515625,0.02335340066191376,0,1.0148175844942944,1.0065649405044714,1.0018832593283145,0,0,1025209.935546875,0.0,1025209.935546875,0.0,0.025209935546875117
2024-08-27,25963.25,26055.599609375,25817.25,25879.400390625,281100.0,25879.400390625,25829.419921875,25629.344921875,25498.47734375,25455.9849609375,25815.43408872102,25686.964990396176,25578.47147073515,25654.866457337757,25532.949091415678,121.91736592207963,65.1740201100699,56.74334581200972,72.01087849607256,25498.47734375,550.2994378517749,26599.07621945355,24397.878468046452,0.0863266351842236,286.71414620535717,-0.2745806451612903,414270.0,0.678542979216453,1.1437575722786253,3.179792533928172,-2.639291856553161,25498.47734375,0.021581658796055923,1,1.0149390507417246,1.0092321842711753,1.003240013605778,1,0,1025209.935546875,0.0,1025209.935546875,0.0,0.025209935546875117
