Date,Open,High,Low,Close,Volume,Adj_Close,MA5,MA10,MA20,MA50,EMA5,EMA10,EMA20,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,ATR,Volume_Change,Volume_MA10,Volume_Ratio,ROC5,ROC10,ROC20,Close_MA20,Volatility,Target,Close_Ratio,High_Low_Ratio,Open_Close_Ratio,Signal,Position,Cash,Holdings,Equity,Returns,Cumulative_Returns
2024-07-30,1793.0,1816.0,1773.1500244140625,1807.9000244140625,5806257,1807.9000244140625,1795.3800048828125,1789.7900024414062,1812.6124938964845,1765.8869970703124,1795.2662714036492,1795.8587286466322,1796.4040422546109,1796.7442925202363,1792.9330546941028,3.8112378261334925,8.629727429797864,-4.818489603664371,46.539501650055804,1812.6124938964845,32.280828756859776,1877.174151410204,1748.0508363827648,0.07123602836360748,42.43569510323656,0.02231167787092514,6401237.6,0.9070522550201855,3.5333910759063114,0.1440190281734699,2.1643337113769645,1812.6124938964845,0.01780900709090185,0,0.9974001781967795,1.0241660181010894,0.9917583803236623,0,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-07-31,1807.0999755859373,1818.25,1786.25,1792.6500244140625,3816044,1792.6500244140625,1798.8800048828125,1786.3800048828125,1811.7099975585938,1767.7749975585937,1794.394189073787,1795.2753278770742,1796.0465167459872,1796.1144051192866,1792.912089488174,3.202315631112697,7.544245070060831,-4.341929438948134,41.84107699973377,1811.7099975585938,32.587968860600114,1876.885935279794,1746.5340598373937,0.07194963632041476,42.54641287667406,-0.34277039407659704,6023758.2,0.6334988678662433,0.9858321696373906,-1.8667018248768263,-0.9968480280860836,1811.7099975585938,0.017987409080103708,1,0.9894795672761005,1.0179146256123164,1.0080606649234827,1,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-01,1781.0999755859375,1810.0,1775.0,1803.449951171875,3242589,1803.449951171875,1796.8,1784.5650024414062,1810.1899963378905,1769.8529956054688,1797.4127764398163,1796.7616230215835,1796.751605738929,1797.2429506658386,1793.6926718351147,3.5502788307239825,6.745451822193461,-3.1951729914694784,45.36130922229779,1810.1899963378905,32.207697870123546,1874.6053920781376,1745.7746005976435,0.0711697621471368,43.278555733816916,-0.15027473477769127,5934130.6,0.5464303397704122,-0.5733673982988963,-0.9963781652019499,-1.65771599742498,1810.1899963378905,0.01779244053678421,0,0.9962766089859899,1.019718309859155,0.9876070996195849,0,526,51385.32568359375,948614.6743164062,1000000.0,0.0,0.0
2024-08-04,1770.199951171875,1805.5999755859373,1768.550048828125,1773.6500244140625,4911818,1773.6500244140625,1792.75,1786.175,1806.2375,1771.1449951171876,1789.4918590978984,1792.5595141838521,1794.5514551365607,1793.613269704027,1792.2080312854073,1.4052384186197742,5.677409141478724,-4.27217072285895,39.598206873650994,1806.2375,31.56030900218608,1869.358118004372,1743.1168819956279,0.06989182541539758,43.69283621651779,0.5147827862242178,5351076.3,0.9179121590921812,-1.128825448709958,0.9160464930527912,-4.266741989592626,1806.2375,0.017472956353849413,0,0.9819583661694891,1.0209493233071703,0.9980548173570334,0,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-05,1785.0,1792.199951171875,1760.0,1770.550048828125,3924022,1770.550048828125,1789.6400146484375,1786.3400024414063,1802.1050048828124,1772.4869970703126,1783.1779223413075,1788.5577932100834,1792.2656069167097,1790.0650818769652,1790.6037362885716,-0.5386544116063305,4.4341964308617134,-4.972850842468044,44.224693880697664,1802.1050048828124,30.48000294857561,1863.0650107799636,1741.1449989856612,0.06765422184831599,42.549979073660666,-0.20110598560451542,5127958.9,0.7652210317052267,-0.8706078590427935,0.09327968744921034,-4.459848074757722,1802.1050048828124,0.016913555462079007,1,0.9824899459414468,1.0182954268022018,1.0081612780059164,1,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-06,1785.0,1786.5999755859375,1760.050048828125,1776.550048828125,3537745,1776.550048828125,1783.37001953125,1789.3750122070312,1798.5400085449219,1773.797998046875,1780.968631170247,1786.3745669588181,1790.7688870987492,1787.9858460232974,1789.5627224026125,-1.576876379315081,3.2319818688263546,-4.808858248141435,41.20533140347545,1798.5400085449219,28.980801695806935,1856.5016119365357,1740.578405153308,0.06445406064500804,41.728550502232096,-0.09843905054558821,4733012.7,0.7474615481171221,-1.7340547133461115,1.7380654280675145,-3.858534388604984,1798.5400085449219,0.01611351516125202,0,0.9877734386711878,1.0150847566951235,1.0047563822800538,0,534,51322.27392578125,948677.7260742188,1000000.0,0.0,0.0
2024-08-07,1766.6500244140625,1781.800048828125,1762.6500244140625,1772.75,2472221,1772.75,1779.3900146484375,1789.135009765625,1795.685009765625,1775.1799975585936,1778.2290874468313,1783.8973729663055,1789.052802613154,1785.641869712021,1788.3173355579745,-2.6754658459535676,2.05049232587037,-4.725958171823938,41.40116384758163,1795.685009765625,28.54326412911485,1852.7715380238546,1738.5984815073953,0.06358189543017981,41.307120186941916,-0.301187338262085,4670595.1,0.5293160608163188,-1.1100897633695594,-0.1352012157313176,-3.120473063244067,1795.685009765625,0.015895473857544955,0,0.9872277099597672,1.010864337303957,0.9965590322459809,0,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-08,1785.050048828125,1785.449951171875,1765.0,1769.6500244140625,2464443,1769.6500244140625,1772.630029296875,1784.7150146484375,1791.9425109863282,1776.8159985351563,1775.3693997692417,1781.3069459568067,1787.2049189751453,1783.1815858200273,1786.9345717695364,-3.7529859495091387,0.8897966707944682,-4.642782620303607,52.711783260880864,1791.9425109863282,26.650201800516598,1845.2429145873614,1738.642107385295,0.05948896605136662,37.574977329799076,-0.0031461588587751166,4386104.3,0.5618751473830661,-1.8741815782494786,-2.436803030393775,-4.058008977280425,1791.9425109863282,0.014872241512841663,1,0.9875595972328401,1.011586374601629,1.0087022994386483,1,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-11,1761.0,1791.050048828125,1751.25,1772.550048828125,4544443,1772.550048828125,1772.4100341796875,1782.5800170898438,1788.9275146484374,1778.465,1774.4296161222028,1779.7147828425009,1785.8092170563814,1781.5459647443502,1785.8690515516541,-4.32308680730398,-0.15278002482522146,-4.170306782478758,50.85022688071574,1788.9275146484374,25.14722411634497,1839.2219628811274,1738.6330664157474,0.056228603809667425,37.46426827566961,0.8440041015353166,4039911.9,1.1248866590382824,-0.06201762302576741,-1.190143001024313,-3.2899543094647044,1788.9275146484374,0.014057150952416837,0,0.9908450925561784,1.0227266517219844,0.9934839364136652,0,535,51685.723876953125,948314.2761230469,1000000.0,0.0,0.0
2024-08-12,1763.0,1791.5,1746.0999755859375,1752.050048828125,3530319,1752.050048828125,1768.7100341796875,1779.1750244140626,1784.3525146484376,1779.8980004882812,1766.9697603575103,1774.6848312035236,1782.5940581774998,1777.0081315264695,1783.3639402388,-6.3558087123305995,-1.393385762326297,-4.962422950004303,51.37681783967962,1784.3525146484376,22.910568096419652,1830.1736508412769,1738.5313784555983,0.05135883836481402,37.00355747767854,-0.22315694134572706,3824990.1,0.9229616045280744,-1.0448730332274225,-1.9063841455259078,-4.963250119418405,1784.3525146484376,0.012839709591203514,0,0.981896813799331,1.026000816132437,1.006249793594195,0,0,1000000.0,0.0,1000000.0,0.0,0.0
