Date,Open,High,Low,Close,Volume,Adj_Close,MA5,MA10,MA20,MA50,EMA5,EMA10,EMA20,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,ATR,Volume_Change,Volume_MA10,Volume_Ratio,ROC5,ROC10,ROC20,Close_MA20,Volatility,Target,Close_Ratio,High_Low_Ratio,Open_Close_Ratio,Signal,Position,Cash,Holdings,Equity,Returns,Cumulative_Returns
2024-07-30,81655.8984375,81828.0390625,81434.3203125,81741.34375,6900.0,81741.34375,81185.0203125,80895.32109375,80551.05859375,78031.59109375,81295.13187138364,80964.12357278618,80349.49731563905,80848.89092335642,79951.16424823402,897.7266751223942,939.897758714017,-42.17108359162273,70.27984531146157,80551.05859375,593.4405971003828,81737.93978795076,79364.17739954924,0.029469040256482747,819.0881696428571,-0.36111111111111116,12500.0,0.552,1.9868785210960471,1.2696242773950983,2.895076228503979,80551.05859375,0.007367260064120723,1,1.0147767785679027,1.004834801205304,0.9989546867156806,1,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-07-31,81949.6796875,82129.4921875,81700.2109375,81867.546875,14500.0,81867.546875,81550.5703125,80947.7296875,80645.09609375,78189.87578125,81485.9368725891,81128.38235500688,80494.07346414961,81005.60722360929,80093.11851688335,912.4887067259406,934.4159483164018,-21.92724159046122,71.52036782927479,80645.09609375,646.0060364206732,81937.10816659135,79353.08402090866,0.03204192531035937,799.3431919642857,1.1014492753623188,13020.0,1.1136712749615976,2.283551522318872,0.6442877294127847,2.351325560566142,80645.09609375,0.008010481327589846,0,1.0151584019421205,1.005254346899158,1.0010032401804516,0,11,99456.984375,900543.015625,1000000.0,0.0,0.0
2024-08-01,81158.9921875,81345.6015625,80868.90625,80981.953125,19500.0,80981.953125,81480.4171875,80985.46015625,80691.71015625,78325.09359375,81317.9422900594,81101.75885864199,80540.5381937544,81001.96813151555,80158.95811748458,843.010014030966,916.1347614593147,-73.12474742834877,54.77791190064294,80691.71015625,634.3101277650251,81960.33041178006,79423.08990071995,0.03144363288554726,795.6662946428571,0.3448275862068966,13360.0,1.4595808383233533,-0.43127246991235824,0.46809296338852224,1.1646284465172796,80691.71015625,0.007860908221386784,0,1.003596936639315,1.00589466748847,1.002186154515522,0,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-04,78588.1875,79780.609375,78295.859375,78759.3984375,25100.0,78759.3984375,80961.128125,80811.1921875,80629.85,78391.92078125,80465.09433920628,80675.87514570708,80370.90583601588,80656.95740935931,80055.28703007831,601.6703792810004,853.241885023652,-251.57150574265165,36.22856497557946,80629.85,754.5914359233514,82139.0328718467,79120.6671281533,0.037434842601014394,963.0161830357143,0.28717948717948727,14730.0,1.7040054310930075,-3.191467499837708,-2.1647636037346096,-1.5465696052517908,80629.85,0.009358710650253614,0,0.9768019962520084,1.0189633272034062,0.9978261522955147,0,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-05,78981.96875,79852.078125,78496.5703125,78593.0703125,8900.0,78593.0703125,80388.6625,80627.5953125,80561.484375,78455.574375,79841.08633030418,80297.18335785125,80201.5881671096,80339.43631753481,79946.97468062806,392.46163690675166,761.085835400272,-368.62419849352034,34.9030603233285,80561.484375,871.3439249334193,82304.17222486684,78818.79652513316,0.043263548664394566,1038.392857142857,-0.6454183266932271,14310.0,0.6219426974143956,-3.5139821054294362,-2.282718743628531,-1.709987436161009,80561.484375,0.010815887166098648,1,0.9755663133844783,1.0172683699058906,1.0049482535286338,1,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-06,79565.3984375,79639.203125,79106.203125,79468.0078125,8600.0,79468.0078125,79933.9953125,80559.5078125,80517.302734375,78537.12453125,79716.72682436946,80146.42416778738,80131.72337143248,80205.3703936833,79911.4956533593,293.8747403239977,667.6436163850171,-373.76887606101945,37.12060570033027,80517.302734375,904.3223901383615,82325.94751465172,78708.65795409828,0.04492561769594804,1032.2466517857142,-0.0337078651685393,14180.0,0.6064880112834978,-2.781133552750048,-0.8495127768565869,-1.0997072438432287,80517.302734375,0.01123140442398702,0,0.9869680815645725,1.0067377775565562,1.0012255324838366,0,11,125851.9140625,874148.0859375,1000000.0,0.0,0.0
2024-08-07,79420.4921875,79626.921875,78798.9375,78886.21875,8900.0,78886.21875,79337.7296875,80444.15,80465.375,78611.43984375,79439.89079957965,79917.29591000786,80013.103883677,80002.42398696279,79835.54921607343,166.8747708893643,567.4898472858865,-400.6150763965222,37.93882087674796,80465.375,967.7318823247618,82400.83876464952,78529.91123535048,0.04810674814227921,1013.6272321428571,0.03488372093023262,14100.0,0.6312056737588653,-3.641648295083355,-1.441255687844345,-1.2994152411481497,80465.375,0.012026687035569795,1,0.9803747108616594,1.0105075576050755,1.0067727094284133,1,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-08,79984.2421875,79984.2421875,79549.09375,79705.90625,8800.0,79705.90625,79082.5203125,80281.46875,80455.803125,78715.5,79528.56261638644,79878.86142637006,79983.84696618395,79956.8058735839,79825.94603340133,130.85984018257295,480.16384586522383,-349.3040056826509,44.92297023428766,80455.803125,974.5686168686015,82404.9403587372,78506.6658912628,0.04845237156377466,1042.0379464285713,-0.011235955056179803,13140.0,0.669710806697108,-1.5757175836823234,-2.000194417452694,-0.23960433603276154,80455.803125,0.012113092890943675,0,0.9906793935816547,1.0054701872389338,1.0034920365452842,0,11,123235.03125,876764.96875,1000000.0,0.0,0.0
2024-08-11,79330.1171875,80106.1796875,79226.1328125,79648.921875,10500.0,79648.921875,79260.425,80110.7765625,80412.28203125,78830.76640625,79568.68236925763,79837.05423521186,79951.94933845215,79909.43910457098,79812.83313277901,96.60597179197066,403.4522710505732,-306.8462992586025,45.015141031746744,80412.28203125,990.8803639951137,82394.04275924023,78430.52130325977,0.04929000092846696,994.7494419642857,0.19318181818181812,12250.0,0.8571428571428571,1.1294187806752731,-2.098093752484742,-1.0810096486907894,80412.28203125,0.012322500232116725,0,0.9905069208712005,1.0111080377617667,0.9959973759845698,0,0,1000000.0,0.0,1000000.0,0.0,0.0
2024-08-12,79552.5078125,79692.546875,78889.3828125,78956.03125,7400.0,78956.03125,79333.0171875,79860.83984375,80326.840625,78930.66078125,79364.4653295051,79676.86823790062,79857.0999966948,79762.76097309853,79749.36632664723,13.394646451299195,325.44074613071837,-312.04609967941917,42.75971559531227,80326.840625,1040.392141771722,82407.62490854344,78246.05634145655,0.051807945323218474,997.1847098214286,-0.2952380952380952,11910.0,0.6213266162888329,0.4618230793844935,-3.0683874064132644,-2.118429435370228,80326.840625,0.012951986330804629,1,0.9829346036227228,1.0101808891623467,1.0075545408381958,1,0,1000000.0,0.0,1000000.0,0.0,0.0
